idx,doc_id,senti_score_assets,senti_score_economy,senti_score_expenses,senti_score_govt policy,senti_score_industry,senti_score_innovation,senti_score_liquidity,senti_score_margins,senti_score_merges_acquisitions,senti_score_negative indicators,senti_score_positive indicators,indicators_ratio,senti_score_pricing,senti_score_product portfolio,senti_score_ratio,senti_score_recent trends,senti_score_recognition_awards,senti_score_revenue,senti_score_stocks,company,BSE_Code,Release_Date,BSE_Code_Yr,id,yr,Base_Price,one_mnthcp,six_mnthcp,one_yearcp,one_mnthcpchngper,six_mnthcpchngper,one_yearcpchngper,y_target,y_segment,y_target1,y_target6,y_target12
413,D:\Danny\DATA_text\PGHH\5004590615.txt,5,5,1,6,5,7.5,1,3,4,1,1.5,1.5,3,3.5,2.333333333,5,4,1.5,0.5,PGHH,500459,1/6/2015,500459_2015,500459,2015,6953.15,7117.05,6046.15,5633.8,2.4,-13,-19,8.662816185,8+,5.026508643,4.919980926,4.875197323
414,D:\Danny\DATA_text\PIDILITIND\5003310310.txt,0.333333333,3,0.333333333,3,5,2,4,1.333333333,3,3,4,1.333333333,2.5,1,2,1,2,2,0.6,PIDILITIND,500331,1/3/2010,500331_2010,500331,2010,197.3,113.75,144.05,138.4,-42.3,-27,-29.9,5.664348405,5to6,4.679349584,4.812184355,4.788324729
415,D:\Danny\DATA_text\PIDILITIND\5003310311.txt,0.666666667,3,1,4,3,3,4,1,2,3,5,1.666666667,2,4,3,5,3,1,0.25,PIDILITIND,500331,1/3/2011,500331_2011,500331,2011,138.4,149.75,162.95,150.55,8.2,17.7,8.8,5.705614129,5to6,5.063860055,5.122176669,5.067645549
416,D:\Danny\DATA_text\PIDILITIND\5003310312.txt,1.5,2,2,7,2,4,4,2,0.5,1.5,2,1.333333333,1.5,1,3,2,2,0.5,0.333333333,PIDILITIND,500331,1/3/2012,500331_2012,500331,2012,150.55,170.3,191.35,240.95,13.1,27.1,60,5.968579675,5to6,5.09436351,5.176714545,5.347107531
417,D:\Danny\DATA_text\PIDILITIND\5003310313.txt,1.5,1,4,3,3,4,3,0.5,1,3,3,1,1,3,4,5,8,1,1,PIDILITIND,500331,1/3/2013,500331_2013,500331,2013,240.95,252.25,225.15,286.4,4.7,-6.6,18.9,6.078559254,6to7,5.041487758,4.965637928,5.129306824
418,D:\Danny\DATA_text\PIDILITIND\5003310314.txt,2,1,2,10.5,4,1.666666667,2,2,1,6,2,0.333333333,2,6,7,6,3,1,0.75,PIDILITIND,500331,1/3/2014,500331_2014,500331,2014,286.4,322.4,409.9,560.3,12.6,43.1,95.6,6.565687416,6to7,5.091293197,5.263208189,5.503704196
419,D:\Danny\DATA_text\PIDILITIND\5003310315.txt,2,4,5,15,13,4.5,6,4,5,1,3,3,1,7,9,4,3,3,1,PIDILITIND,500331,1/3/2015,500331_2015,500331,2015,560.3,590.15,570.9,553.5,5.3,1.9,-1.2,6.556067877,6to7,5.04535873,5.02322241,5.002603122
420,D:\Danny\DATA_text\POLARIS\5322540310.txt,3,10,3,9,4.5,14,3.5,4,6,0.5,3,6,4,5.5,5,3,4,5,4,POLARIS,532254,1/3/2010,532254_2010,532254,2010,147.6,176.6,163.85,181.8,19.6,11,23.2,5.804532378,5to6,5.133442723,5.081404365,5.154446996
421,D:\Danny\DATA_text\POLARIS\5322540311.txt,0.75,5,2,16,9.5,8,1,1.5,2,1,6,6,3,9,5,8,5,6,1,POLARIS,532254,1/3/2011,532254_2011,532254,2011,181.8,204.1,129.55,159.2,12.3,-28.7,-12.4,5.733988317,5to6,5.089446475,4.798266816,4.924350925
422,D:\Danny\DATA_text\POLARIS\5322540312.txt,0.833333333,2,4,7.666666667,3.666666667,6,1.666666667,3,2.666666667,3,13,4.333333333,2,11,4.25,3,4.5,2.666666667,1.333333333,POLARIS,532254,1/3/2012,532254_2012,532254,2012,159.2,150.6,117,118.9,-5.4,-26.5,-25.3,5.594339563,5to6,4.97397131,4.816241156,4.825910853
